148	30
102	34
33	37
131	38
84	41
63	54
174	61
136	72
121	73
37	74
108	76
172	79
196	81
90	84
112	86
64	91
47	94
115	98
36	99
173	100
139	101
68	105
131	106
86	109
119	111
175	114
45	119
31	120
63	124
123	124
192	129
32	130
135	148
27	154
58	157
157	162
134	163
72	176
147	178
90	180
62	187
116	188
132	188
164	188
167	200
64	208
140	210
128	213
169	215
88	216
74	217
115	219
31	223
183	236
35	241
108	245
62	247
169	253
139	255
68	259
112	263
131	268
95	270
154	278
188	278
121	284
68	289
132	289
206	290
48	292
94	294
184	294
70	297
33	299
184	307
135	309
148	312
171	313
181	313
85	321
179	325
27	326
